gatId,gatIdGr,street,houseNo,eldership,place,longitude,latitude,fullAddress,people on street
22385,546,Tolimoji g.,37,Naujoji Vilnia,Vilnius,25.34121,54.66295,Tolimoji g. 37,192
22482,650,Šatrijos g.,15,Šnipiškės,Vilnius,25.27301,54.70204,Šatrijos g. 15,480
329214,3634,Oršos g.,6,Šnipiškės,Vilnius,25.27473,54.70316,Oršos g. 6,408
284563,3383,Bretonų g.,72,Naujoji Vilnia,Vilnius,25.34868,54.64388,Bretonų g. 72,0
210319,2991,Arnavos g.,3B,Pilaitė,Vilnius,25.15529,54.71769,Arnavos g. 3B,60
284368,3396,Basiukų g.,24,Rasos,Vilnius,25.31472,54.62465,Basiukų g. 24,2
85834,2858,Kairėnės Sodų 2-oji g.,55,Antakalnis,Vilnius,25.38642,54.74024,Kairėnės Sodų 2-oji g. 55,53
270163,3302,Gaurių g.,2,Paneriai,Vilnius,25.09449,54.65369,Gaurių g. 2,48
270111,3305,Viržių g.,17,Paneriai,Vilnius,25.0938,54.65393,Viržių g. 17,71
270162,3304,Vaivorų g.,25,Paneriai,Vilnius,25.09272,54.65471,Vaivorų g. 25,19
53762,2472,Kelmijos Sodų 62-oji g.,17B,Naujininkai,Vilnius,25.26341,54.59875,Kelmijos Sodų 62-oji g. 17B,36
61764,2674,Pavilnio Sodų 14-oji g.,2A,Naujoji Vilnia,Vilnius,25.35917,54.66516,Pavilnio Sodų 14-oji g. 2A,32
66989,2726,Salaspilio g.,11,Fabijoniškės,Vilnius,25.22446,54.75133,Salaspilio g. 11,400
28259,825,Iešmininkų g.,16,Vilkpėdė,Vilnius,25.25437,54.66596,Iešmininkų g. 16,120
22407,570,Uosių g.,18A,Naujoji Vilnia,Vilnius,25.3959,54.70095,Uosių g. 18A,158
49956,1674,Balsių Sodų 1-oji g.,87,Verkiai,Vilnius,25.3494,54.78893,Balsių Sodų 1-oji g. 87,144
67380,2754,Bagušių g.,1,Naujoji Vilnia,Vilnius,25.38065,54.67641,Bagušių g. 1,138
22403,565,Tyzenhauzų g.,87,Naujininkai,Vilnius,25.29071,54.66027,Tyzenhauzų g. 87,1190
53128,2154,Gelvadiškių Sodų 3-ioji g.,28,Antakalnis,Vilnius,25.36171,54.75502,Gelvadiškių Sodų 3-ioji g. 28,35
53130,2155,Gelvadiškių Sodų 4-oji g.,19B,Antakalnis,Vilnius,25.36215,54.75553,Gelvadiškių Sodų 4-oji g. 19B,25
22270,428,Popieriaus g.,67A,Verkiai,Vilnius,25.33163,54.76,Popieriaus g. 67A,606
267270,3281,Sklandytojų g.,1,Naujininkai,Vilnius,25.27073,54.65219,Sklandytojų g. 1,0
273222,3336,Veliuonos g.,93,Verkiai,Vilnius,25.31267,54.78005,Veliuonos g. 93,32
48319,2040,Bendorių g.,65A,Pašilaičiai,Vilnius,25.19145,54.75149,Bendorių g. 65A,109
263969,3249,Žalumos g.,18,Verkiai,Vilnius,25.35309,54.80102,Žalumos g. 18,123
287863,3420,Torunės g.,9,Pašilaičiai,Vilnius,25.21137,54.74792,Torunės g. 9,4
21981,125,Gabijos g.,2C,Pašilaičiai,Vilnius,25.22979,54.73559,Gabijos g. 2C,6039
273219,3333,Rokiškio g.,3A,Verkiai,Vilnius,25.30213,54.77536,Rokiškio g. 3A,40
24713,761,Laimos g.,32,Verkiai,Vilnius,25.35228,54.77697,Laimos g. 32,74
28248,813,Anapilio g.,7A,Antakalnis,Vilnius,25.35964,54.70951,Anapilio g. 7A,97
22443,608,Verslo g.,27,Rasos,Vilnius,25.32404,54.6708,Verslo g. 27,65
265462,3257,Sorbų g.,29,Naujoji Vilnia,Vilnius,25.34434,54.64968,Sorbų g. 29,193
48359,2060,Tauliškių g.,12B,Pašilaičiai,Vilnius,25.17613,54.75109,Tauliškių g. 12B,78
51852,1981,Trinapolio g.,3A,Verkiai,Vilnius,25.28857,54.72352,Trinapolio g. 3A,1285
72642,2829,Turniškių Sodų g.,38B,Antakalnis,Vilnius,25.34475,54.75088,Turniškių Sodų g. 38B,56
22049,196,Jogailos g.,7A,Naujamiestis,Vilnius,25.27691,54.68666,Jogailos g. 7A,270
59086,2546,Pavilnionių g.,57E,Pašilaičiai,Vilnius,25.20987,54.7381,Pavilnionių g. 57E,1432
51960,2102,Konstitucijos pr.,24B,Šnipiškės,Vilnius,25.26832,54.6976,Konstitucijos pr. 24B,633
28810,866,Kaimelio g.,33A,Fabijoniškės,Vilnius,25.24209,54.72837,Kaimelio g. 33A,150
21936,80,Burbiškių g.,6B,Naujininkai,Vilnius,25.2597,54.65748,Burbiškių g. 6B,685
323115,3579,Mozūrų g.,16,Naujoji Vilnia,Vilnius,25.35034,54.64967,Mozūrų g. 16,3
325464,3605,Nybudžių g.,6,Pilaitė,Vilnius,25.17599,54.72229,Nybudžių g. 6,24
31073,924,Dieveniškių g.,55,Naujininkai,Vilnius,25.23851,54.62474,Dieveniškių g. 55,10
269921,3310,Tyravos g.,7B,Pilaitė,Vilnius,25.15126,54.69923,Tyravos g. 7B,40
22025,171,J. Kupalos g.,47,Naujoji Vilnia,Vilnius,25.40907,54.69872,J. Kupalos g. 47,98
31889,964,Varnionių g.,1A,Naujoji Vilnia,Vilnius,25.42665,54.68094,Varnionių g. 1A,34
263968,3256,Kuolingų g.,11,Naujoji Vilnia,Vilnius,25.44664,54.68526,Kuolingų g. 11,1
22110,259,Kuosų g.,7,Antakalnis,Vilnius,25.31486,54.6994,Kuosų g. 7,179
22186,338,Meškeriotojų g.,19K,Antakalnis,Vilnius,25.30662,54.7458,Meškeriotojų g. 19K,138
48880,1597,Kalvarijų Sodų 8-oji g.,21,Verkiai,Vilnius,25.28308,54.7343,Kalvarijų Sodų 8-oji g. 21,40
297420,3466,Laumėnų g.,4,Šnipiškės,Vilnius,25.27111,54.70263,Laumėnų g. 4,190
72536,2821,Didžiųjų Gulbinų g.,15,Verkiai,Vilnius,25.29429,54.79577,Didžiųjų Gulbinų g. 15,7
24707,754,Gulbinų g.,40,Verkiai,Vilnius,25.3238,54.78204,Gulbinų g. 40,137
22142,292,Linksmoji g.,5A,Naujoji Vilnia,Vilnius,25.43079,54.68849,Linksmoji g. 5A,2508
22036,182,J. Jasinskio g.,8A,Naujamiestis,Vilnius,25.26486,54.68762,J. Jasinskio g. 8A,575
297468,3465,Videniškių g.,3,Šnipiškės,Vilnius,25.27127,54.70331,Videniškių g. 3,198
24276,726,B. Sruogos g.,30A,Antakalnis,Vilnius,25.32351,54.72066,B. Sruogos g. 30A,334
103590,2916,Sadūniškių g.,4,Antakalnis,Vilnius,25.38621,54.71493,Sadūniškių g. 4,34
50624,1855,Mačiuliškių g.,39,Paneriai,Vilnius,25.07646,54.64992,Mačiuliškių g. 39,71
325463,3604,Vincento Borisevičiaus g.,27,Naujoji Vilnia,Vilnius,25.37482,54.67802,Vincento Borisevičiaus g. 27,16
297419,3464,Alfonso Lipniūno g.,2,Naujoji Vilnia,Vilnius,25.37729,54.67721,Alfonso Lipniūno g. 2,154
22410,573,Utenos g.,41K,Šnipiškės,Vilnius,25.27398,54.70686,Utenos g. 41K,63
51616,1965,Kalnėnų g.,69,Naujoji Vilnia,Vilnius,25.34839,54.65353,Kalnėnų g. 69,331
22202,357,Mėlynių g.,1C,Antakalnis,Vilnius,25.32135,54.7329,Mėlynių g. 1C,59
22180,332,Medžiotojų g.,27J,Antakalnis,Vilnius,25.32409,54.71946,Medžiotojų g. 27J,180
50626,1856,Ražienų g.,17,Paneriai,Vilnius,25.11856,54.5973,Ražienų g. 17,26
320468,3573,Naujininkų skg.,4,Naujininkai,Vilnius,25.28907,54.66509,Naujininkų skg. 4,40
320418,3578,Barkiškių g.,16,Naujininkai,Vilnius,25.31068,54.60416,Barkiškių g. 16,14
320313,3571,Gervuogių g.,25,Antakalnis,Vilnius,25.32728,54.73514,Gervuogių g. 25,91
22465,632,Vytenio g.,48,Naujamiestis,Vilnius,25.26674,54.67108,Vytenio g. 48,2332
241413,3140,Fabriko g.,79,Paneriai,Vilnius,25.0559,54.63009,Fabriko g. 79,20
21997,141,Gelvonų g.,2A,Šeškinė,Vilnius,25.25616,54.7116,Gelvonų g. 2A,6912
22409,572,Upės g.,19,Žvėrynas,Vilnius,25.26064,54.69581,Upės g. 19,3
51098,535,Žalvarnių g. (Grigiškės),7A,Grigiškės,Grigiškės,25.08116,54.66549,Žalvarnių g. 7A,33
28268,834,Mileišiškių g.,60,Antakalnis,Vilnius,25.35066,54.71476,Mileišiškių g. 60,239
22244,399,Parko g.,64,Naujoji Vilnia,Vilnius,25.4306,54.68589,Parko g. 64,4513
24699,746,Ąžuolyno g.,18A,Šeškinė,Vilnius,25.24055,54.70425,Ąžuolyno g. 18A,33
22531,703,Žydų g.,5,Senamiestis,Vilnius,25.28465,54.68001,Žydų g. 5,68
81136,2847,Retkonių g.,4A,Naujoji Vilnia,Vilnius,25.43396,54.70137,Retkonių g. 4A,0
50002,1697,Pakarvių g.,3C,Pilaitė,Vilnius,25.1691,54.71557,Pakarvių g. 3C,165
22205,360,Mėtų g.,4B,Antakalnis,Vilnius,25.40021,54.72225,Mėtų g. 4B,14
269662,3307,Drąsos g.,4,Pilaitė,Vilnius,25.14139,54.71065,Drąsos g. 4,0
50006,1699,Palvininkų g.,35,Pilaitė,Vilnius,25.14117,54.70962,Palvininkų g. 35,0
81142,2850,Alfonso Petrulio g.,29,Naujoji Vilnia,Vilnius,25.40309,54.6769,Alfonso Petrulio g. 29,43
67406,2766,Valdemaro Čarneckio g.,3,Naujoji Vilnia,Vilnius,25.39298,54.67669,Valdemaro Čarneckio g. 3,282
323116,3583,Mykolo Velykio g.,9,Naujoji Vilnia,Vilnius,25.39991,54.67837,Mykolo Velykio g. 9,132
53346,2264,Rokantiškių Sodų 7-oji g.,14A,Antakalnis,Vilnius,25.37804,54.70746,Rokantiškių Sodų 7-oji g. 14A,34
267411,3286,Totoriškių g.,52,Paneriai,Vilnius,25.10626,54.62691,Totoriškių g. 52,3
22016,162,Gumbinės g.,8B,Pilaitė,Vilnius,25.18283,54.71708,Gumbinės g. 8B,34
300414,3473,Jono Černiaus g.,32,Naujoji Vilnia,Vilnius,25.40073,54.67121,Jono Černiaus g. 32,10
22099,248,Konduktorių g.,20A,Naujininkai,Vilnius,25.26835,54.66399,Konduktorių g. 20A,255
318069,3559,Poškonių g.,28,Paneriai,Vilnius,25.08279,54.63513,Poškonių g. 28,13
21971,115,Elektrinės g.,1A,Vilkpėdė,Vilnius,25.23654,54.66809,Elektrinės g. 1A,93
21947,91,Daugėliškio g.,49,Šnipiškės,Vilnius,25.27181,54.70061,Daugėliškio g. 49,660
50680,1883,Pagubės Sodų 16-oji g.,2,Verkiai,Vilnius,25.31191,54.80851,Pagubės Sodų 16-oji g. 2,47
69150,2788,Juliaus Juzeliūno g.,32,Fabijoniškės,Vilnius,25.24224,54.7292,Juliaus Juzeliūno g. 32,101
67400,2763,Levidonių g.,2A,Naujoji Vilnia,Vilnius,25.37389,54.66948,Levidonių g. 2A,126
52032,2110,Mančiagirės g.,11,Naujininkai,Vilnius,25.22311,54.62999,Mančiagirės g. 11,20
210831,2995,Sandėlių g.,16C,Paneriai,Vilnius,25.12378,54.65404,Sandėlių g. 16C,0
22287,446,Ramunių g.,42,Rasos,Vilnius,25.31254,54.6708,Ramunių g. 42,126
28266,832,Lūkesčių g.,28,Lazdynai,Vilnius,25.19287,54.66455,Lūkesčių g. 28,127
287864,3402,Švendrų g.,20,Antakalnis,Vilnius,25.42248,54.73524,Švendrų g. 20,50
320267,3572,Vaclovo Chomskio g.,19,Antakalnis,Vilnius,25.42344,54.73548,Vaclovo Chomskio g. 19,28
60680,2643,Kelmijos Sodų 85-oji g.,26A,Naujininkai,Vilnius,25.27195,54.60285,Kelmijos Sodų 85-oji g. 26A,75
103588,2915,Lietaviškių g.,88D,Antakalnis,Vilnius,25.40676,54.71069,Lietaviškių g. 88D,61
69170,2796,Padvarės g.,49A,Verkiai,Vilnius,25.28991,54.79614,Padvarės g. 49A,244
323412,3588,Girmavos g.,10,Pilaitė,Vilnius,25.1273,54.69825,Girmavos g. 10,5
109314,2934,Antano Škėmos g.,20A,Antakalnis,Vilnius,25.39448,54.79193,Antano Škėmos g. 20A,32
22026,172,Ievų g.,20A,Naujoji Vilnia,Vilnius,25.40712,54.69573,Ievų g. 20A,119
