Upload_Record_ID,Konteinerio_Nr,Konteinerio_RFID,Konteinerio_capacity,Konteinerio_area,Konteinerio_street,Konteinerio_namas,Driver,Automobilis,Pickup_date__time,Weight_kg_,lift_point_latitude,Lift_point_longitude,Data_submission_date__time,Zona,date,season,people_on_street_nearest_avg3
1187539,13-L-310053,E200001C3618007608302E92,1.1,Vilniaus m.,Upės g.,6,Ekonovus,,4:43:00 AM,0.0655,54.693,25.2735,4:52:00 AM,Vilniaus m. BA5,5/19/2022,Spring,189
1187541,13-L-314078,E200471649F06026DE0B0114,1.1,Vilniaus m.,Upės g.,6,Ekonovus,,4:44:00 AM,0.029,54.693,25.2735,4:52:00 AM,Vilniaus m. BA5,5/25/2023,Spring,189
1187540,13-L-314079,E200471649B06026DE07010C,1.1,Vilniaus m.,Upės g.,6,Ekonovus,,4:43:00 AM,0.068,54.693,25.2735,4:52:00 AM,Vilniaus m. BA5,5/25/2023,Spring,189
1188443,13-L-311234,0512021373FEDCBA00036799,1.1,Vilniaus m.,Žalgirio g.,88,Ekonovus,,6:02:00 AM,0.033,54.7033,25.2787,6:42:00 AM,Vilniaus m. BA5,11/11/2021,Autumn,569
1188441,13-L-301965,E20000170615013726700DBA,1.1,Vilniaus m.,Žalgirio g.,88,Ekonovus,,6:01:00 AM,0.0365,54.7033,25.2787,6:42:00 AM,Vilniaus m. BA5,11/30/2019,Autumn,569
1190415,13-L-313703,E20047177D306026F13F010E,0.77,Vilniaus m.,Gedimino pr.,3A,Ekonovus,,8:23:00 AM,0.028,54.6868,25.2843,9:02:00 AM,Vilniaus m. BA5,11/28/2022,Spring,33
1192833,13-L-305084,E200001706160136194052B2,0.66,Vilniaus m.,Kęstučio g.,25,Ekonovus,,12:36:00 PM,0.0005,54.6917,25.252,12:52:00 PM,Vilniaus m. BA5,11/30/2019,Autumn,447
1193095,13-L-311276,0512021373FEDCBA00036757,0.77,Vilniaus m.,Kęstučio g.,47,Ekonovus,,1:06:00 PM,0.0485,54.6958,25.2502,1:12:00 PM,Vilniaus m. BA5,11/24/2021,Summer,365.6666667
1193683,13-L-303479,E20000175611002614707FE8,0.77,Vilniaus m.,Latvių g.,66,Ekonovus,,1:57:00 PM,0.022,54.6942,25.2393,2:12:00 PM,Vilniaus m. BA5,11/30/2019,Spring,386
1189088,13-L-313300,E2004716A3506026E3A1010E,1.1,Vilnius,A. Stulginskio g.,8,Ekonovus,,6:58:00 AM,0.0425,54.6858,25.2763,7:32:00 AM,Vilniaus m. BA5,10/18/2022,Summer,431.6666667
1188796,13-L-311999,E200470F46A060266DD6010A,1.1,Vilnius,A. Stulginskio g.,8,Ekonovus,,6:58:00 AM,0.0175,54.6858,25.2763,7:12:00 AM,Vilniaus m. BA5,5/5/2022,Autumn,431.6666667
1188029,13-L-310396,E200001C3618008008102E98,1.1,Vilnius,Šermukšnių g.,4,Ekonovus,,5:45:00 AM,0.0665,54.6901,25.2738,6:02:00 AM,Vilniaus m. BA5,8/17/2022,Autumn,213.6666667
1188031,13-L-310309,E200001C3618016808208B88,1.1,Vilnius,Šermukšnių g.,4,Ekonovus,,5:46:00 AM,0.063,54.6901,25.2738,6:02:00 AM,Vilniaus m. BA5,5/23/2022,Autumn,213.6666667
1189350,13-L-313950,E2004716EC506026E8310106,1.1,Vilnius,Šeimyniškių g.,21D,Ekonovus,,7:11:00 AM,0.0425,54.6929,25.2939,7:52:00 AM,Vilniaus m. BA5,1/13/2021,Spring,585.3333333
1189940,13-L-309262,E200001C3618012311406269,1.1,Vilniaus m.,Ceikinių g.,9,Ekonovus,,7:53:00 AM,0.036,54.6934,25.2869,8:32:00 AM,Vilniaus m. BA5,3/22/2021,Winter,651
1189935,13-L-309263,E200001C36180121114059D0,1.1,Vilniaus m.,Ceikinių g.,9,Ekonovus,,7:51:00 AM,0.0425,54.6934,25.2869,8:32:00 AM,Vilniaus m. BA5,3/22/2021,Winter,651
1189937,13-L-309264,E200001C361801111140512B,1.1,Vilniaus m.,Ceikinių g.,9,Ekonovus,,7:51:00 AM,0.039,54.6934,25.2869,8:32:00 AM,Vilniaus m. BA5,3/22/2021,Winter,651
1189818,13-L-308411,E200001C3616016110708560,1.1,Vilniaus m.,Ceikinių g.,9,Ekonovus,,7:48:00 AM,0.0335,54.6934,25.2869,8:22:00 AM,Vilniaus m. BA5,6/5/2020,Summer,651
1189821,13-L-308410,E200001C361601591070855F,1.1,Vilniaus m.,Ceikinių g.,9,Ekonovus,,7:49:00 AM,0.034,54.6934,25.2869,8:22:00 AM,Vilniaus m. BA5,6/5/2020,Summer,651
1189936,13-L-308412,E200001C36160171107096D5,1.1,Vilniaus m.,Ceikinių g.,9,Ekonovus,,7:51:00 AM,0.035,54.6934,25.2869,8:32:00 AM,Vilniaus m. BA5,6/5/2020,Winter,651
1188547,13-L-301825,E20000170615008127000BEC,1.1,Vilniaus m.,A. Goštauto g.,3,Ekonovus,,6:13:00 AM,0.0335,54.6909,25.2767,6:52:00 AM,Vilniaus m. BA5,11/30/2019,Winter,142
